#HGNC ID	HGNC symbol
49021	LINC01034
47155	RNU6-192P
47728	RNU6-765P
46587	RN7SL571P
11744	TFAP2C
32713	SNORD17
1126	BTF3P11
9626	PTMAP3
33209	VN2R3P
36143	RPL7P44
35383	MIR1539
33613	SNORD58C
16583	RPL15P1
16167	ZNF831
2751	DHX9P1
10208	SNORD58A
11944	TNNC2
15972	VPS18
10209	SNORD58B
31095	SRP72P1
24080	APH1B
47317	RNU6-354P
46656	RN7SL640P
41023	MYCBP2-AS1
35360	MIR1282
45671	RNU7-137P
4985	HMGN1P2
34035	FAM74A5
49401	SMUG1P1
44193	PIN4P1
16742	TPT1P1
140	ACTBP7
41024	MYCBP2-AS2
46030	RN7SL14P
17155	RABGAP1
48549	RNU2-56P
39895	SCEL-AS1
45798	RN7SKP74
38561	GAPDHP55
18550	IER3IP1
32574	SCARNA17
42491	RNY3P7
39672	SPTLC1P5
38939	MIR3665
43357	RNA5SP457
34061	RNY4P11
49045	EDNRB-AS1
43424	LINC00851
44552	ADAD1P2
16532	GCNT1P1
46326	RN7SL310P
43376	RNA5SP476
38202	MIR3192
43358	RNA5SP458
23569	LINC00475
37667	ATP5A1P9
16533	RPL21P3
36572	RPLP0P11
3178	EDN3
2910	DLL4
46478	RN7SL462P
16534	RPS19P1
42700	RNF219-AS1
43430	LINC00493
40044	TMEM239
32029	FAM74A1
46654	RN7SL638P
46933	RNU6ATAC34P
32186	DUXAP7
33210	VN2R4P
46826	RN7SL810P
49109	LINC01069
37912	EEF1A1P34
42783	LINC00446
24165	ANKRD30B
37440	UBE2Q2P2
1074	BMP7
49107	SRGNP1
25003	LINC00652
32695	SKOR2
16134	C20orf141
42487	RNY3P3
36077	RPL31P54
2324	CPSF1
38159	TCEB1P23
33211	VN2R5P
49412	UBE2Q2P6
4476	GPR21
36564	RPL21P111
17134	CBWD1
45015	BEND3P2
42048	LINC00331
48359	CSPG4P8
33615	SNORA84
46438	RN7SL422P
35145	HSPD1P8
32031	FAM74A3
35139	CCT5P2
40631	HUNK-AS1
42045	NIPA2P5
1285	LINC00159
827	ATP5A1P1
39596	BCAS2P3
42609	RNA5SP33
40106	MIS18A-AS1
39805	RBM26-AS1
16559	RPL17P1
46363	RN7SL347P
48745	HNRNPMP1
46125	RN7SL109P
46706	RN7SL690P
32666	SNORA80
41862	MIR4670
16237	EIF4E2P1
40844	NDFIP2-AS1
33989	EXOSC3P1
49106	LINC01068
46623	RN7SL607P
43390	RNA5SP490
49026	LINC01038
16584	MRPS11P1
16080	LINC00846
42709	LINC00382
32030	FAM74A2
16212	PCED1A
48616	EIF3J-AS1
8395	OR7E23P
42551	RNU6-61P
38166	LINC00237
39549	HNRNPA1P31
39709	PWWP2AP1
16597	RPL24P2
39603	PAXBP1-AS1
37628	ARF4P4
34036	FAM74A6
49062	DPPA3P3
43708	LINC00564
32033	ZNF658B
42567	RNU6-77P
42642	HIGD1AP2
9628	PTMAP5
39710	GYG1P2
6768	SMAD2
42557	RNU6-67P
37666	ATP5A1P8
30901	VENTXP2
39391	UBE2D3P4
42035	MTND4P1
37485	RBPJP5
42034	MTND5P3
42050	LINC00333
42699	LINC00375
46779	RN7SL763P
42669	LINC00351
13536	ATP8B4
42562	RNU6-72P
42638	MOB1AP1
16462	STRBP
37806	DDX6P2
22567	ANKRD19P
17129	SLC39A4
3657	FES
39459	TXNL1P1
17043	NIPA1
42765	LINC00430
42645	UBBP5
11250	SPO11
38056	LIN28AP2
7016	MEP1AP1
42773	MIR4500HG
15865	PLK1S1
48232	RNU6-1269P
1371	CA12
41853	MIR4500
39616	SNX18P8
42725	LINC00397
33586	TET1P1
48643	LINC00945
32318	FAM95B1
36577	RPL29P29
48461	RNU1-119P
42768	LINC00433
43704	LINC00560
41969	GRPEL2P1
48071	RNU6-1108P
48295	RNU6-1332P
49041	LINC01047
15833	PHACTR3
38485	TRIM60P13
42777	LINC00440
47929	RNU6-966P
39527	CNN2P2
48420	RNU1-78P
35430	SP3P
49028	LINC01040
49466	IGKV1OR9-2
42671	LINC00353
26436	C9orf66
42061	MTND1P12
10251	ROCK1
39455	RPL7L1P1
49159	BMS1P14
48762	HNRNPA3P16
39678	PEX12P1
36202	RPL17P46
43703	LINC00559
42610	RNA5SP34
46711	RN7SL695P
39675	FAR1P1
28680	CHAC1
31002	SRSF10P1
33396	KRT18P27
48388	RNU1-46P
31976	AQP7P3
18178	VPS28
32878	MIR622
49043	LINC01049
42565	RNU6-75P
42742	LINC00410
42021	BRK1P2
39947	CYP4F59P
42706	LINC00380
39612	SNX18P4
42705	LINC00379
44966	SS18L2P2
39268	PPIAP23
43377	RNA5SP477
47501	RNU6-538P
37880	RSL24D1P9
23564	MIR17HG
31000	RPS8P3
44303	IL10RB-AS1
39137	MEP1AP3
47677	RNU6-714P
33523	EEF1DP2
23773	USF1P1
16598	RPS15AP1
10427	RPS5P3
42575	RNU4ATAC3P
38697	ZNF877P
31061	FABP5P4
16154	SNX21
39887	GPC5-AS2
23765	BTF3P6
41340	GPC5-IT1
46077	RN7SL61P
43550	MIR548AS
825	ATP5A1P5
39886	GPC5-AS1
45864	RN7SKP140
35834	RPL29P32
49414	GOLGA6L17P
16606	GSTM3P1
37154	NKX2-2-AS1
44305	LINC00649
32630	SNORA37
30999	SNRPGP2
35188	DNM1P38
16554	SLC25A6P1
46359	RN7SL343P
10356	RPL41P1
35889	RPSAP57
39529	CNN2P4
18688	CRB2
49408	ADAMTS7P2
42468	CYP4F60P
9828	RAE1
31004	MAP1LC3P
39613	SNX18P5
14584	VPS16
31980	ANKRD20A7P
43359	RNA5SP459
16189	LINC00261
26660	GOLGA8I
47562	RNU6-599P
41703	MIR4529
39138	MEP1AP4
35959	RPL21P126
16540	KRT18P3
46756	RN7SL740P
46272	RN7SL256P
39610	SNX18P2
29193	IQSEC3
